US_State,Year,Program_Name,Incentive_Type,Amount_USD,Amount_Notes,Income_Eligibility,Vehicle_Price_Cap_USD,Stackable,Program_Status,Start_Date,End_Date,Administering_Agency,Source_URL
US,2016,Electric Vehicle (EV) and Fuel Cell Electric Vehicle (FCEV) Tax Credit,TAX,,"The Qualified Plug-in Electric Drive Motor Vehicle Credit (IRC 30D),
also referred to as the Clean Vehicle Credit, had added a requirement
for final assembly in North America that took effect on Augus",,,,expired,2008-10-03 00:00:00 UTC,2025-09-30 23:59:59 UTC,U.S. Internal Revenue Service,https://www.congress.gov/112/plaws/publ240/PLAW-112publ240.pdf|https://www.congress.gov/public-laws/119th-congress|https://www.congress.gov/public-laws/117th-congress|http://www.gpo.gov/fdsys/
US,2017,Electric Vehicle (EV) and Fuel Cell Electric Vehicle (FCEV) Tax Credit,TAX,,"The Qualified Plug-in Electric Drive Motor Vehicle Credit (IRC 30D),
also referred to as the Clean Vehicle Credit, had added a requirement
for final assembly in North America that took effect on Augus",,,,expired,2008-10-03 00:00:00 UTC,2025-09-30 23:59:59 UTC,U.S. Internal Revenue Service,https://www.congress.gov/112/plaws/publ240/PLAW-112publ240.pdf|https://www.congress.gov/public-laws/119th-congress|https://www.congress.gov/public-laws/117th-congress|http://www.gpo.gov/fdsys/
US,2018,Electric Vehicle (EV) and Fuel Cell Electric Vehicle (FCEV) Tax Credit,TAX,,"The Qualified Plug-in Electric Drive Motor Vehicle Credit (IRC 30D),
also referred to as the Clean Vehicle Credit, had added a requirement
for final assembly in North America that took effect on Augus",,,,expired,2008-10-03 00:00:00 UTC,2025-09-30 23:59:59 UTC,U.S. Internal Revenue Service,https://www.congress.gov/112/plaws/publ240/PLAW-112publ240.pdf|https://www.congress.gov/public-laws/119th-congress|https://www.congress.gov/public-laws/117th-congress|http://www.gpo.gov/fdsys/
US,2019,Electric Vehicle (EV) and Fuel Cell Electric Vehicle (FCEV) Tax Credit,TAX,,"The Qualified Plug-in Electric Drive Motor Vehicle Credit (IRC 30D),
also referred to as the Clean Vehicle Credit, had added a requirement
for final assembly in North America that took effect on Augus",,,,expired,2008-10-03 00:00:00 UTC,2025-09-30 23:59:59 UTC,U.S. Internal Revenue Service,https://www.congress.gov/112/plaws/publ240/PLAW-112publ240.pdf|https://www.congress.gov/public-laws/119th-congress|https://www.congress.gov/public-laws/117th-congress|http://www.gpo.gov/fdsys/
US,2020,Electric Vehicle (EV) and Fuel Cell Electric Vehicle (FCEV) Tax Credit,TAX,,"The Qualified Plug-in Electric Drive Motor Vehicle Credit (IRC 30D),
also referred to as the Clean Vehicle Credit, had added a requirement
for final assembly in North America that took effect on Augus",,,,expired,2008-10-03 00:00:00 UTC,2025-09-30 23:59:59 UTC,U.S. Internal Revenue Service,https://www.congress.gov/112/plaws/publ240/PLAW-112publ240.pdf|https://www.congress.gov/public-laws/119th-congress|https://www.congress.gov/public-laws/117th-congress|http://www.gpo.gov/fdsys/
US,2021,Electric Vehicle (EV) and Fuel Cell Electric Vehicle (FCEV) Tax Credit,TAX,,"The Qualified Plug-in Electric Drive Motor Vehicle Credit (IRC 30D),
also referred to as the Clean Vehicle Credit, had added a requirement
for final assembly in North America that took effect on Augus",,,,expired,2008-10-03 00:00:00 UTC,2025-09-30 23:59:59 UTC,U.S. Internal Revenue Service,https://www.congress.gov/112/plaws/publ240/PLAW-112publ240.pdf|https://www.congress.gov/public-laws/119th-congress|https://www.congress.gov/public-laws/117th-congress|http://www.gpo.gov/fdsys/
US,2022,Electric Vehicle (EV) and Fuel Cell Electric Vehicle (FCEV) Tax Credit,TAX,,"The Qualified Plug-in Electric Drive Motor Vehicle Credit (IRC 30D),
also referred to as the Clean Vehicle Credit, had added a requirement
for final assembly in North America that took effect on Augus",,,,expired,2008-10-03 00:00:00 UTC,2025-09-30 23:59:59 UTC,U.S. Internal Revenue Service,https://www.congress.gov/112/plaws/publ240/PLAW-112publ240.pdf|https://www.congress.gov/public-laws/119th-congress|https://www.congress.gov/public-laws/117th-congress|http://www.gpo.gov/fdsys/
US,2023,Electric Vehicle (EV) and Fuel Cell Electric Vehicle (FCEV) Tax Credit,TAX,,"The Qualified Plug-in Electric Drive Motor Vehicle Credit (IRC 30D),
also referred to as the Clean Vehicle Credit, had added a requirement
for final assembly in North America that took effect on Augus",,,,expired,2008-10-03 00:00:00 UTC,2025-09-30 23:59:59 UTC,U.S. Internal Revenue Service,https://www.congress.gov/112/plaws/publ240/PLAW-112publ240.pdf|https://www.congress.gov/public-laws/119th-congress|https://www.congress.gov/public-laws/117th-congress|http://www.gpo.gov/fdsys/
AZ,2016,Reduced Alternative Fuel Vehicle (AFV) License Tax,TAX,,"The vehicle license tax for an AFV registered in Arizona is \$4 for
every \$100 in assessed value. The minimum amount of the annual AFV
license tax is \$5. AFV assessed values are determined as follow",,,,amended,2018-04-25 00:00:00 UTC,,,https://www.azleg.gov/arstitle/|https://www.azleg.gov/|https://www.azleg.gov/
AZ,2017,Reduced Alternative Fuel Vehicle (AFV) License Tax,TAX,,"The vehicle license tax for an AFV registered in Arizona is \$4 for
every \$100 in assessed value. The minimum amount of the annual AFV
license tax is \$5. AFV assessed values are determined as follow",,,,amended,2018-04-25 00:00:00 UTC,,,https://www.azleg.gov/arstitle/|https://www.azleg.gov/|https://www.azleg.gov/
